Topic,Count,Name,Representation,Representative_Docs
-1,567,-1_don_oh_know_ve,"['don', 'oh', 'know', 've', 'think', 'look', 'going', 'let', 'just', 'll']","['I’ll let you know after tonight. Unlike some people, I’m going in with an open mind. Who am I kidding? Of course we all know it’s O-gauge or no gauge.', 'I’ll let you know after tonight. Unlike some people, I’m going in with an open mind. Who am I kidding? Of course we all know it’s O-gauge or no gauge.', 'Let’s say that I go out and I spend fifty dollars on you, it’s a laborious activity, because I have to imagine what you need, whereas you know what you need. Now I can simplify things, just give you the fifty dollars directly and, you could give me fifty dollars on my birthday, and so on until one of us dies leaving the other one old and fifty dollars richer. And I ask you, is it worth it?']"
0,77,0_amy_women_hush_right,"['amy', 'women', 'hush', 'right', 'time', 'hush hush', 'lego', 'll', 'good', 'fowler']","['Well, if Amy’s too busy, that gives the rest of you an opportunity to make my life easier, thus assuring yourselves a footnote in my memoirs, tentatively entitled You’re Welcome, Mankind. All right, then, just shout when you hear the task you want to undertake. Uh, dentist. Okay, we can circle back to that one. Um, well, who wants to take me Wednesday morning to get new heels put on my dress shoes? Anyone? Oh. That one had hoot written all over it. Um, all right, uh, dermatologist? Allergist? Podiatrist? Supercuts? Okay, okay, here’s a fun one. Um, I need a new picture frame and I have a hankering for Swedish meatballs. Who wants to spend the day with me at IKEA?', 'Last night I was strong-armed into an evening of harp music and spooning with an emotional Amy Farrah Fowler. This on a night that I had originally designated for solving the space-time geometry in higher-spin gravity and building my Lego Death Star. And why? Your gal pals, Penny and Bernadette, went out shopping for some wedding nonsense without Amy, an action they took with no thought or regard as to how it would affect me, the future of string theory or my Lego fun time.', 'Last night I was strong-armed into an evening of harp music and spooning with an emotional Amy Farrah Fowler. This on a night that I had originally designated for solving the space-time geometry in higher-spin gravity and building my Lego Death Star. And why? Your gal pals, Penny and Bernadette, went out shopping for some wedding nonsense without Amy, an action they took with no thought or regard as to how it would affect me, the future of string theory or my Lego fun time.']"
1,53,1_party_aren_dad_friend,"['party', 'aren', 'dad', 'friend', 'just', 'going let', 'tertiary', 'candy', 'van', 'let']","['Mmm. You know, I’ve been told that a bald refusal of an invitation is rude and one must instead offer up a polite excuse, so I’d love to go, but, unfortunately, that sounds awful.', 'No, sir, no, I took my dad’s desk chair, attached a Speak & Spell to it and made my sister push me up and down the block to trick or treat. Granted most people thought I was R2-D2, but still, I got a lot of candy.', 'No, sir, no, I took my dad’s desk chair, attached a Speak & Spell to it and made my sister push me up and down the block to trick or treat. Granted most people thought I was R2-D2, but still, I got a lot of candy.']"
2,51,2_leonard_point_mugs_friend,"['leonard', 'point', 'mugs', 'friend', 'did leonard', 'koothrappali', 'believe', 'course', 'saying', 'leonard know']","['You heard the man, Leonard. And while you’re at it, I’m upset that we have an unannounced houseguest, so make me cocoa. Point of inquiry, given that Leonard is your secondary friend and Koothrappali is your primary friend, why didn’t you seek refuge under his roof?', 'You heard the man, Leonard. And while you’re at it, I’m upset that we have an unannounced houseguest, so make me cocoa. Point of inquiry, given that Leonard is your secondary friend and Koothrappali is your primary friend, why didn’t you seek refuge under his roof?', 'Leonard?']"
3,50,3_wolowitz_tree_cricket_snowy tree,"['wolowitz', 'tree', 'cricket', 'snowy tree', 'snowy', 'tree cricket', 'lee', 'latin', 'spoken', 'mohammed']","['Hang on. Voilà, the snowy tree cricket, aka Oecanthus fultoni, which is Latin for I’ll suck nothing. Of course I’m joking because the Latin for that is nihil exsorbibo.', 'In the pre-Christian era, as the winter solstice approached and the plants died, pagans brought evergreen boughs into their homes as an act of sympathetic magic, intended to guard the life essences of the plants until spring. This custom was later appropriated by Northern Europeans and eventually it becomes the so-called Christmas tree.', 'In the pre-Christian era, as the winter solstice approached and the plants died, pagans brought evergreen boughs into their homes as an act of sympathetic magic, intended to guard the life essences of the plants until spring. This custom was later appropriated by Northern Europeans and eventually it becomes the so-called Christmas tree.']"
4,46,4_howard_howard howard_bernadette_ahead,"['howard', 'howard howard', 'bernadette', 'ahead', 'bar low', 'said words', 'howard bathroom', 'set bar', 'words good', 'howard bernadette']","['Howard?', 'See? Howard’s on my side.', 'Howard?']"
5,44,5_time machine_machine_mmhmm_ability,"['time machine', 'machine', 'mmhmm', 'ability', 'earth', 'superman', 'activity', 'monkeys', 'feat', 'doctorate']","['Any intelligent organism would at the very least need the ability to locate the position of objects in space. So the ideal interstellar lingua franca would be haptic.', 'Mmhmm. Mmhmm. It’s interesting. But isn’t ventriloquism, by definition, a solo activity? Yeah? Tell me another interest of yours. Hmmm. Is there any chance you like monkeys? What is wrong with you? Everybody likes monkeys. Hang on, Kripke. A loop counter? And an escape to the least objectionable activity! Howard, that’s brilliant! I’m surprised you saw that.', 'Mmhmm. Mmhmm. It’s interesting. But isn’t ventriloquism, by definition, a solo activity? Yeah? Tell me another interest of yours. Hmmm. Is there any chance you like monkeys? What is wrong with you? Everybody likes monkeys. Hang on, Kripke. A loop counter? And an escape to the least objectionable activity! Howard, that’s brilliant! I’m surprised you saw that.']"
6,40,6_comic_comic book_book_gelato,"['comic', 'comic book', 'book', 'gelato', 'gelato stan', 'bat', 'content', 'memorabilia', 'stan', 'stan lee']","['Yes, which is why no one else will ask him to sign one, and I will be the possessor of a unique, albeit confusing, artifact, which will set me apart from the hoi polloi of comic book fandom.', 'While a thoughtful gift, this comic book in this condition is worth at least a hundred dollars.', 'While a thoughtful gift, this comic book in this condition is worth at least a hundred dollars.']"
7,38,7_apology_sorry_went_said,"['apology', 'sorry', 'went', 'said', 'told', 'failed', 'said sorry', 'court', 'story', 'duty']","['My good man, dereliction of duty in the face of the enemy is a court-martial offense.', 'Yes. I followed the social protocol. I attempted to right the wrong, and when I failed to do so I delivered a heartfelt apology. Now you say apology accepted, and I will offer you a one-time-only high five.', 'Yes. I followed the social protocol. I attempted to right the wrong, and when I failed to do so I delivered a heartfelt apology. Now you say apology accepted, and I will offer you a one-time-only high five.']"
8,38,8_engineer_mit_education_trade school,"['engineer', 'mit', 'education', 'trade school', 'detailed', 'foolish', 'engine', 'institution', 'trade', 'school']","['This would go a lot faster if you put your trade school diploma to work and helped me set up this high frequency tone generator.', 'I must say, Howard, I think a detailed letter to MIT describing your current circumstances might entitle you to a refund on your master’s degree.', 'I must say, Howard, I think a detailed letter to MIT describing your current circumstances might entitle you to a refund on your master’s degree.']"
