Topic,Count,Name,Representation,Representative_Docs
-1,797,-1_ask_don_say_people,"['ask', 'don', 'say', 'people', 'time', 'feel', 'party', 'like', 'oh', 'know']","['All right. Please. Amy, when I look in your eyes and you’re looking back in mine, everything feels not quite normal, because I feel stronger and weaker at the same time. I feel excited and, at the same time, terrified. The truth is, I don’t know what I feel, except I know what kind of man I want to be.', 'All right, fine. Let’s say that we were to entertain people. What type of gathering did you have in mind? Huh? A meal? Lunch? Brunch? Dinner? Afternoon tea? A formal tea? Hmm? Is it a party? And if so, what kind of party? Is it a cocktail party? A Tupperware party? Ooh, is it a surprise party? Oh, I hope it’s not a West Coast party, ’cause according to the man on the radio, a West Coast party don’t stop.', 'All right, fine. Let’s say that we were to entertain people. What type of gathering did you have in mind? Huh? A meal? Lunch? Brunch? Dinner? Afternoon tea? A formal tea? Hmm? Is it a party? And if so, what kind of party? Is it a cocktail party? A Tupperware party? Ooh, is it a surprise party? Oh, I hope it’s not a West Coast party, ’cause according to the man on the radio, a West Coast party don’t stop.']"
0,83,0_science_physics_mommy_biology,"['science', 'physics', 'mommy', 'biology', 'matters', 'american', 'tickle', 'body', 'paper', 'discovery']","['Cheap science fiction?', 'Okay, uh, number one, in matters of physics, I have the final say. In matters of neuroscience, you have the final say. Unless I disagree. Oh, here. Number two, when we publish,', 'Okay, uh, number one, in matters of physics, I have the final say. In matters of neuroscience, you have the final say. Unless I disagree. Oh, here. Number two, when we publish,']"
1,75,1_kissing_nose_kiss_teeth,"['kissing', 'nose', 'kiss', 'teeth', 'pants', 'toothbrush', 'aw', 'turn', 'face', 'putting']","['Well, I believe we were kissing like randy teenagers, and your nose was whistling ever so slightly.', 'Wash those bea… Oh, I get it, a little hazing for the new fella. Yeah, I’d better keep and eye out for, what, shoe polish on the microscope, or mad cow disease in my grilled cheese sandwich?', 'Well, I believe we were kissing like randy teenagers, and your nose was whistling ever so slightly.']"
2,63,2_amy_farrah fowler_farrah_amy farrah,"['amy', 'farrah fowler', 'farrah', 'amy farrah', 'fowler', 'great deal', 'amy just', 'deal', 'break', 'say amy']","['Amy?', 'No. Amy?', 'Not at all. Amy?']"
3,54,3_penny_sick_places_thousand,"['penny', 'sick', 'places', 'thousand', 'quarter', 'trust', 'pretty good', 'triple', 'official', 'think got']","['Hah!Penny? Next.', 'Hah!Penny? Next.', 'No more than Penny.']"
4,48,4_flag_flags_fun flags_fun,"['flag', 'flags', 'fun flags', 'fun', 'white', 'episode', 'animal', 'hosting', 'em', 'vexillology']","['And you said you pressed record. Anyway, please sit back, relax, and join us as we take our final lap, as indicated by the waving of this racing flag. And, of course, white flags can also represent surrender, the Stewards of Gondor, and the Japanese Minamoto clan, but I’m sure you remember that from episode sixty-two, White Flags, Who’s Wavin’ ‘Em and Why?', 'Fun and information are two sides to this video podcast, not unlike the only two-sided state flag, Oregon. Oh, look. Hello, Mr. Beaver. In future episodes, we’ll answer some burning questions. What’s the only non-rectangular flag? What animal appears most often on flags? What animal appears second most often on flags? And more.', 'Fun and information are two sides to this video podcast, not unlike the only two-sided state flag, Oregon. Oh, look. Hello, Mr. Beaver. In future episodes, we’ll answer some burning questions. What’s the only non-rectangular flag? What animal appears most often on flags? What animal appears second most often on flags? And more.']"
5,46,5_relationship_mystery_living_years,"['relationship', 'mystery', 'living', 'years', 'fast', 'agree', 'faster', 'believe', 'didn hold', 'know apartment']","['You know, I liked it better when there was still a little mystery left in our relationship.', 'Yes. Amy, are you worried that us living together will take the mystery out of our relationship?', 'Yes. Amy, are you worried that us living together will take the mystery out of our relationship?']"
6,46,6_leonard_bars_play_car,"['leonard', 'bars', 'play', 'car', 'lunch', 'kid', 'terrible', 'oh ve', 'notion', 'french']","['Leonard, please, let me go.', 'I see. Take me to Leonard.', 'I see. Take me to Leonard.']"
7,44,7_sheldon_cooper_dr_presents,"['sheldon', 'cooper', 'dr', 'presents', 'hello', 'fun flags', 'welcome', 'episode', 'lab', 'fun']","['Hello. I’m Dr. Sheldon Cooper, and welcome to the premiere episode of Sheldon Cooper Presents Fun with Flags. Over the next 52 weeks, you and I are going to explore the dynamic world of vexillology.', 'Hello, I’m Dr. Sheldon Cooper.', 'Hello. I’m Dr. Sheldon Cooper.']"
8,43,8_excuse_rude_familiar_think little,"['excuse', 'rude', 'familiar', 'think little', 'strongly', 'impossible', 'did', 'need know', 'truth', 'disagree']","['Excuse me.', 'Excuse me. I think you’re being a little rude.', 'Excuse me. I think you’re being a little rude.']"
9,43,9_fine_okay_sorry_okay talk,"['fine', 'okay', 'sorry', 'okay talk', 'fine ll', 'll right', 'talk', 'fine sorry', 'fine okay', 'oh sorry']","['Fine.', 'Fine.', 'I’m fine.']"
