Topic,Count,Name,Representation,Representative_Docs
-1,3942,-1_amy_look_like_sheldon cooper,"['amy', 'look', 'like', 'sheldon cooper', 'turn', 'question', 'school', 'just', 'dr', 'butter']","['So from now on, this program will be officially known as Dr. Sheldon Cooper and Dr. Amy Farrah Fowler present Dr. Sheldon’ Cooper’s Fun With Flags.', 'No, I’m a little rattled. But like the flag over Fort Sumter, I’m still here. And, take two. Hello. I’m Dr. Sheldon Cooper, and welcome to the premiere episode of Sheldon Cooper Presents Fun with Flags. Over the next 52 weeks, you and I are going to explore the dynamic world of vexillology.', 'Hello. I’m Dr. Sheldon Cooper, and welcome to Sheldon Cooper Presents: Fun With Flags. You may notice that I’m holding a remote control. That’s because my cameraperson and co-host, Dr. Amy Farrah Fowler, has chosen to end her relationship with me. I’m going to pause here to let that sink in. Okay. If you need to pause a little longer, just click the pause button. But the show must go on. And thankfully, all the things my girlfriend used to do can be taken care of with my right hand. Anyway, let’s not spend any more time talking about her. We’re here to talk about flags. Tonight’s theme, flags of countries that have been torn apart and the women I have a feeling were responsible.']"
0,510,0_leonard_leonard don_charge_leonard oh,"['leonard', 'leonard don', 'charge', 'leonard oh', 'leonard going', 'leonard did', 'los', 'lack', 'did know', 'send']","['I admire you, Leonard.', ' Leonard, Leonard, Leonard…', 'Leonard.']"
1,148,1_mother_mom_dad_parents,"['mother', 'mom', 'dad', 'parents', 'thinks', 'father', 'fourth', 'count', 'son', 'honest']","[' Mother? Mother? Mother?', 'Mother, she’s an atheist, not a vampire.', 'What, you’re not my mother.']"
2,136,2_howard_good friend_problems_prepare,"['howard', 'good friend', 'problems', 'prepare', 'hungry', 'likely', 'security', 'mention', 'board', 'accept']","['It’s for Howard.', 'Howard?', 'Well, Howard, what about you?']"
3,125,3_bathroom_schedule_seat_bath,"['bathroom', 'schedule', 'seat', 'bath', 'scared', 'shower', 'plan', 'use', 'space', 'coffee']","['I think metaphorically. But he was in the bathroom for a while.', 'I have to go to the bathroom.', 'I have to go to the bathroom.']"
4,121,4_hello_neighbour_home_thank,"['hello', 'neighbour', 'home', 'thank', 'right', '', '', '', '', '']","['Hello.', 'Hello.', 'Hello.']"
5,118,5_amy_emily_amy amy_mark,"['amy', 'emily', 'amy amy', 'mark', 'touch', 'beloved', 'eaten', 'experience', 'nonsense', '20']","['Not at all. Amy?', 'It’s about Amy.', 'Amy?']"
6,114,6_yes yes_yes_surprisingly_,"['yes yes', 'yes', 'surprisingly', '', '', '', '', '', '', '']","['Yes.', 'Yes.', 'Yes,']"
7,112,7_train_trains_engineer_station,"['train', 'trains', 'engineer', 'station', 'pass', 'engine', 'slide', 'oh great', 'look like', 'thinking']","['Oh, I’m back to trains. Woo-woo.', 'It’d be swell if they had a train.', 'It’d be swell if they had a train.']"
8,107,8_sauce_dogs_hot_cheese,"['sauce', 'dogs', 'hot', 'cheese', 'dog', 'cut', 'boys', 'beach', 'wife', 'extra']","['We had dinner last night. She made me spaghetti with little hot dogs cut up in it. Well, little hot dog. I gave up the other five hot dogs to a real dog. A real, big dog. A hell hound. Tangential to the primary story. How about I circle back to it?', 'Will you cut up hot dogs into little chunks and mix them in with the sauce?', 'Will you cut up hot dogs into little chunks and mix them in with the sauce?']"
9,106,9_penny_penny don_lied_lie,"['penny', 'penny don', 'lied', 'lie', 'penny oh', 'penny penny', 'ha', 'think need', 'insightful', 'secret']","['That presupposes Penny is tense.', 'Not Penny, me!', 'Hah!Penny? Next.']"
