Topic,Count,Name,Representation,Representative_Docs
-1,919,-1_like_just_ll_oh,"['like', 'just', 'll', 'oh', 'man', 'pick', 'leonard', 'tea', 'day', 'chair']","['It’s about how she made my life better. Consider the lyrics. I was living like half a man. Then I couldn’t love, but now I can. More soul than I ever had. I love the way you soften my life.”', 'Euclid Avenue is shorter as the crow flies, but it has speed bumps, which appreciably increase point-to-point drive time, making it the less efficient choice. But you have the conn. Of course, if you’re not going to slow down for the speed bumps, I withdraw my previous objection. Here’s a fun question. Do you know what the most common street name is?', 'Euclid Avenue is shorter as the crow flies, but it has speed bumps, which appreciably increase point-to-point drive time, making it the less efficient choice. But you have the conn. Of course, if you’re not going to slow down for the speed bumps, I withdraw my previous objection. Here’s a fun question. Do you know what the most common street name is?']"
0,113,0_date_agreement_roommate_ladies,"['date', 'agreement', 'roommate', 'ladies', 'roommate agreement', 'ladies ladies', 'prom', 'wedding', 'backwards', 'engaged']","['Then, this is my first date.', 'Then, this is my first date.', 'Roommate agreement? Are you kidding? We are living in a world of chaos. Roommate agreement.']"
1,93,1_amy_relationship_mad_amy farrah,"['amy', 'relationship', 'mad', 'amy farrah', 'farrah', 'farrah fowler', 'fowler', 'birthday', 'look', 'hubba']","['It’s about Amy.', ' Amy. Amy. Amy.', 'It’s about Amy.']"
2,72,2_diet_juice_wedge_extra,"['diet', 'juice', 'wedge', 'extra', 'tall', 'glass', 'alcohol', 'll need', 'fine ll', 'cherries']","['I’ll have a diet coke.', 'I believe you were about to ask me to choose a cocktail. Fortunately, thanks to computer-savvy alcoholics, there’s an app for that. Let’s see. Harvey Wallbanger. Eh. Sex on the Beach. I hardly think so. Rob Roy, Silk Slipper, Mad Hatter. Ooh! I’ll have a Rosewater Ricky.', 'I believe you were about to ask me to choose a cocktail. Fortunately, thanks to computer-savvy alcoholics, there’s an app for that. Let’s see. Harvey Wallbanger. Eh. Sex on the Beach. I hardly think so. Rob Roy, Silk Slipper, Mad Hatter. Ooh! I’ll have a Rosewater Ricky.']"
3,67,3_leonard_leonard leonard_future_ii,"['leonard', 'leonard leonard', 'future', 'ii', 'lesley', 'addition', 'mall', 'enemy', 'leonard ll', 'recommend']","['Leonard.', 'Leonard?', 'Leonard?']"
4,64,4_french_robot_solve_science,"['french', 'robot', 'solve', 'science', 'rock', 'star trek', 'trek', 'giving', 'guy', 'star']","['She’s been conducting an experiment on apes where they’re given various puzzles to solve. I was surprised at the complexity of the puzzles and thought some humans wouldn’t be able to solve them. That’s when Amy said, want to make this interesting?', 'Secret keeping is a complicated endeavour. One has to be concerned not only about what one says, but about facial expression, autonomic reflexes, when I try to deceive, I myself have more nervous tics than a lyme disease research facility. It’s a joke. It relies on the hominymic relationship between tick the blood-sucking arachnid, and tic the involuntary muscular contraction. I made it up myself.', 'Secret keeping is a complicated endeavour. One has to be concerned not only about what one says, but about facial expression, autonomic reflexes, when I try to deceive, I myself have more nervous tics than a lyme disease research facility. It’s a joke. It relies on the hominymic relationship between tick the blood-sucking arachnid, and tic the involuntary muscular contraction. I made it up myself.']"
5,61,5_bowl_yogurt_buying_shoes,"['bowl', 'yogurt', 'buying', 'shoes', 'trash', 'frozen', 'sell', 'don understand', 'ostrich', 'roses']","['We have a bowl. Our keys go in a bowl. You should get a bowl.', 'It’s the only explanation I can come up with for why you think you sell shoes and yogurt.', 'It’s the only explanation I can come up with for why you think you sell shoes and yogurt.']"
6,61,6_physics_physicist_universe_quantum,"['physics', 'physicist', 'universe', 'quantum', 'knowledge', 'particle', 'paper', 'hawking', 'working', 'nobel']","['George Smoot is a Nobel Prize-winning physicist, one of the great minds of our time. His work in black body form and anisotropy of the cosmic microwave background radiation cemented our understanding of the origin of the universe.', 'Nice try. Now, in 1964, Dr. Peter Higgs, accomplished self-promoter and physicist, he wrote a paper postulating the existence of a subatomic particle called the Higgs boson. Now, initially the paper was rejected, but recently, he was proven right, and now he’s on the fast track to win a Nobel prize.', 'Nice try. Now, in 1964, Dr. Peter Higgs, accomplished self-promoter and physicist, he wrote a paper postulating the existence of a subatomic particle called the Higgs boson. Now, initially the paper was rejected, but recently, he was proven right, and now he’s on the fast track to win a Nobel prize.']"
7,61,7_experiment_scientific_joke_support,"['experiment', 'scientific', 'joke', 'support', 'data', 'proved', 'freezer', 'designed', 'laugh', 'conclusion']","['For the record, that psychotic rant was a concise summation of the research of Bertram Forer, who in 1948 proved conclusively through meticulously designed experiments, that astrology is nothing but pseudo scientific hokum.', 'No, it wasn’t. Uh, now let’s tabulate the results of the experiment. I think it’s safe to say that you’re not in love with me and I’m not in love with you. And psychology has once again proved itself the doofus of the sciences.', 'No, it wasn’t. Uh, now let’s tabulate the results of the experiment. I think it’s safe to say that you’re not in love with me and I’m not in love with you. And psychology has once again proved itself the doofus of the sciences.']"
8,59,8_leonard penny_leonard_penny leonard_think leonard,"['leonard penny', 'leonard', 'penny leonard', 'think leonard', 'relationship', 'minute', 'leonard amy', 'return', 'recently', 'choice']","[' Leonard and Penny. Leonard and Penny. Leonard and Penny.', ' Leonard and Penny. Leonard and Penny. Leonard and Penny.', ' Leonard and Penny. Leonard and Penny. Leonard and Penny.']"
9,58,9_pay_hang_ll_hmm know,"['pay', 'hang', 'll', 'hmm know', 'linear', 'know exactly', 'company', 'yeah wait', 'subscribe', 'want want']","['Hang on a moment. Here. Take some. Pay me back when you can.', 'Of course you will. It’s impossible to pay me back sooner than you can. Assuming you subscribe to a linear understanding of time and causality.', 'Of course you will. It’s impossible to pay me back sooner than you can. Assuming you subscribe to a linear understanding of time and causality.']"
10,55,10_clock_seven_hours_friday,"['clock', 'seven', 'hours', 'friday', '12', 'answers', 'time', 'far', 'morning', 'hanging']","['Since we come in every Tuesday night at six o’clock and order the same exact thing, and it’s now six oh eight, I believe your question not only answers itself but also stands alongside such other nonsensical queries as who let the dogs out? and, uh, How are they hanging?', 'Remember, seven o’clock.', 'Remember, seven o’clock.']"
11,51,11_okay okay_okay_alright_sure don,"['okay okay', 'okay', 'alright', 'sure don', 'okay just', 'involuntary', 'yeah wait', 'troubles', 'trouble', 've seen']","['Okay.', 'Okay.', 'Okay.']"
12,51,12_hello hello_hello_hi_action,"['hello hello', 'hello', 'hi', 'action', 'shotgun', 'oh hello', 'youtube', 'neighbour', 'home', 'thank']","['Hello.', 'Hello.', 'Hello.']"
13,46,13_leonard_apologize_leonard said_know leonard,"['leonard', 'apologize', 'leonard said', 'know leonard', 'talking', 'said', 'mail', 'kind', 'don want', 'time nonsense']","['I see. Apparently my earlier inquiry regarding you and Leonard crossed some sort of line. I apologize.', 'Yeah. Did you know that while Leonard is not considered a tall fellow in our country, in today’s North Korea, he’s downright average. Hey, talk about a keeper.', 'Yeah. Did you know that while Leonard is not considered a tall fellow in our country, in today’s North Korea, he’s downright average. Hey, talk about a keeper.']"
14,46,14_wah_talk_conversation_chat,"['wah', 'talk', 'conversation', 'chat', 'silly', 'having', 'sound', 'zone', 'right given', 'impressive']","['When are you going to talk to him?', 'But to be fair, when you talk, most of what you say sounds like, wah, wah, wah, clothes, wah, wah, wah.', 'But to be fair, when you talk, most of what you say sounds like, wah, wah, wah, clothes, wah, wah, wah.']"
15,45,15_comic_comic book_book_spider,"['comic', 'comic book', 'book', 'spider', 'store', 'doctor', 'man', 'named', 'mint', 'thursday']","['It’s the comic book store.', 'And the comic book store.', 'And the comic book store.']"
